sample_id,reference_en,greedy_output,beam_output,delta_chrf
0,"several years ago here at ted, peter skillman introduced a design challenge called the marshmallow challenge.","the adoption of us have been here, a few years ago, a lot of us have been a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution.","here's a few years ago, i'm going to give you a few years ago.",-2.9249365471977598
1,"and the idea's pretty simple: teams of four have to build the tallest free-standing structure out of 20 sticks of spaghetti, one yard of tape, one yard of string and a marshmallow.","and one of the most famous bricker, one of the most famous bricker, one of the most famous bricker, one of the most famous bricker, the most famous bricker of the most famous bricker.","and one of the most famous bricks, one of the most famous bricks, one of the most famous bricks, and one of the most of the most famous bricks.",0.1434058014176678
2,the marshmallow has to be on top.,the top of the top of the top of the top.,you have to be familiar with the topics.,6.988402327942101
3,"and, though it seems really simple, it's actually pretty hard because it forces people to collaborate very quickly.","it's very simple, because it's very simple, very simple, very simple.","it's very simple, because it's very simple. it's very simple.",-0.574918472104887
4,"and so, i thought this was an interesting idea, and i incorporated it into a design workshop.",so i thought i was a creative idea that i was a creative idea of design.,"so i thought that this is a design idea of design, and i thought i was a creative idea.",10.069113473232001
5,and it was a huge success.,it was a success.,it was a success.,0.0
6,"and since then, i've conducted about 70 design workshops across the world with students and designers and architects, even the ctos of the fortune 50, and there's something about this exercise that reveals very deep lessons about the nature of collaboration, and i'd like to share some of them with you.","and i did a lot of students, and i did this technology, and i did a lot of people who are working with you, and i did this technology, and i did a lot of the work with a lot of the work with a company, and i did this technology, and i did not have a lot of the work with you, and i did this technology, and i did a","and so i've been working with you, and i've been working with a bunch of students, and i've been working with this technology, and i've been working with you, and i've been working with a bunch of students, and i've been working with this technology, and i've been working with you about a bunch of students to share with a",1.90047555765101
7,"so, normally, most people begin by orienting themselves to the task.","so most people start to get people, and they start to get to this task.","so, most people start to get people, and they begin to be creative.",2.898491530354807
8,"they talk about it, they figure out what it's going to look like, they jockey for power.","and you know how they're going to be able to be able to hear, and they're going to be able to be able to hear about how they're going to be able to be able to be able to hear.","and you know how they're going to be able to be able to hear, and they're going to hear about how they're going to be able to be able to be able to be able to hear.",0.43318529621124213
9,"then they spend some time planning, organizing, they sketch and they lay out spaghetti.","and then they're going to spend time, and then they're going to keep the time.","and then they're going to spend time, and then they're going to keep them.",-1.8761279755864742
10,they spend the majority of their time assembling the sticks into ever-growing structures.,most of us spend most of them in our time.,most of us spend most of them in our time.,0.0
11,"and then finally, just as they're running out of time, someone takes out the marshmallow, and then they gingerly put it on top, and then they stand back, and -- ta-da! -- they admire their work.","and then they're going to go back to the top, and then they're going to the top, and then they're going to go to the top, and then they're going to the top, and then they're going to go to the top, and then they're going to the top of them.","and then they're going to go back to the top of them, and then they're going to the top of them, and then they're going to the top, and then they're going to get them, and then they're going to get them, and then they're going to get them, and then they're going to get them, and then they",-0.14920708990429787
12,"but what really happens, most of the time, is that the ""ta-da"" turns into an ""uh-oh,"" because the weight of the marshmallow causes the entire structure to buckle and to collapse.","but the fact is that most of the fact that most of the fact that most of the fact, the fact is that most of the fact that is that most of the fact, is the fact that is the fact that most of the fact that is the fact that most of the fact that is the fact that is the fact that most of the fact that is the fact that is the fact that is","but what's happening is that most of the fact that's happening in the fact that's happening, because most of the fact that's happening in the fact that's happening in the fact that's happening.",7.545992304693325
13,"so there are a number of people who have a lot more ""uh-oh"" moments than others, and among the worst are recent graduates of business school.","so there's a lot of people who have a lot of different kind of the people who have a lot of the best efforts, and they have a lot of the best efforts.","so there's a lot of people who have a little bit more creative commons, and there's a lot of people who have a lot of people who have more.",1.7377212139746874
14,"they lie, they cheat, they get distracted and they produce really lame structures.","they are really, they are really, they are, they are really crazy, they are really crazy, they are really crazy, they are really crazy.","they're really excited, they're really excited, they're really excited, they're really crazy.",2.2270379394879534
15,"and of course there are teams that have a lot more ""ta-da"" structures, and among the best are recent graduates of kindergarten.","and of course, there are a mathematicians that are a mathematicians that are a mathematician, and of the wrong spot.","and of course, there's a mathematicians that's a mathematicians that are a mathematicians, and of course.",-3.380011706754619
16,and it's pretty amazing.,and that's really cool.,and that's a wonderful thing.,5.69665453884879
17,"as peter tells us, not only do they produce the tallest structures, but they're the most interesting structures of them all.","but it's also not just as a lot of them, it's also the most peaceful ones.","but it's not just as much as much as a result, it's not just as much as much as much as much as much as much as they's.",-5.85203326107764
18,so the question you want to ask is: how come? why? what is it about them?,"so what is it that the question is, how do you think about?","so what's the question is, how do you think about it?",-7.318564194490591
19,"and peter likes to say that none of the kids spend any time trying to be ceo of spaghetti, inc. right?","and we say that it's not a lot of children, ""the value of us to do what we say, ""the value.""","it's not about what we say, ""well, it's going to spend time to spend time to spend a time to spend time.""",4.752930849117011
20,they don't spend time jockeying for power.,and no time in the power of power.,they don't spend time in power.,35.75140778097318
21,but there's another reason as well.,but there's another reason.,but there's another reason.,0.0
22,"and the reason is that business students are trained to find the single right plan, right?","well, the reason is that the best example of the best job is that the students are right now.","well, the reason is that it's one of the best job.",-15.834062689070937
23,and then they execute on it.,then they get the skeleton on the nerve.,and then they're doing it.,17.468427507862827
24,"and then what happens is, when they put the marshmallow on the top, they run out of time and what happens?","what happens when they do it happens, and what happens when they do they're going on the top, and what happens, and what happens?","and what happens when they do it happens, what happens, and what happens when they's happening?",-4.740772843988097
25,it's a crisis.,it's the crisis.,it's the crisis.,0.0
26,sound familiar? right.,it looks like a lot more money. right?,isn't it. right?,-0.42415575060093147
27,"what kindergarteners do differently is that they start with the marshmallow, and they build prototypes, successive prototypes, always keeping the marshmallow on top, so they have multiple times to fix when they build prototypes along the way.","so what they're doing is that they're doing is a different way, and they're doing the building a different way to the building, and they're doing the building a different way, and they're doing the building the building the building the building the building.","and what they're doing is that they're looking at the same way, and so they're looking at a different way, and they're looking at a different way, and they're looking at the topics, and they're looking at a different way.",0.39797414514675467
