sample_id,source_ar,reference_en,transformer_output,error_category,source_length,target_length
2025,استكشف.,explore.,it's a bit.,over-generation,1,1
7357,اصبح الاقزام بحجم الاعمدة.,dwarves became columns.,the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size of the size.,repetition,4,3
769,نعم حقاً,no kidding.,yes.,low overlap,2,2
8246,"ساكون علي ما يرام، رجاء لا تقلقوا"".","i'll be okay. please don't worry.""","no, no, no, no, no.",repetition,7,6
8225,منعت الفتيات من الذهاب الي المدرسة.,girls were prohibited from going to school.,i went to school.,adequate,6,7
7223,حسناً، اسم بيكر لا يعني شيئاً لك,"well, the name baker doesn't actually mean anything to you.","well, don't mean something that's something.",adequate,7,10
4362,"نظرت الي حلقه, وجدته وردي قليلا.","i looked at his throat, it was a little bit pink.",and i looked at the top of my owner.,adequate,6,11
3849,لمدة عام كُنا مُفلسين.,for a year we were penniless.,we've been a year for two years.,adequate,4,6
3029,حسنا.,okay.,okay.,adequate,1,1
2753,اذا لقد كانوا يعلمون كل شيء,so they know everything.,so they know everything.,adequate,6,4
2960,شكراً لكم,thank you.,thank you.,adequate,2,2
2927,شكراً لكم,thank you.,thank you.,adequate,2,2
6899,الجَلَد هو ان تعيشواكانكم في سباق الماراتون وليس السرعة.,"grit is living life like it's a marathon, not a sprint.",and the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the speed of the,repetition,9,11
151,لا تصدقوا اي شئ دون تفكير كاف .,don't take anything for granted.,"no, no, no.",low overlap,8,5
1885,"انا اطلق اسم "" النمر المتوهج "" علي هذا الرداء","i call this ""shiny tiger.""",i'm a name of the name of the name of the name of the name of the name of the name of the name of the name of the name of the name.,repetition,10,5
3708,بير فاسكويز: اوه، يا الهي. اوه، يا الهي.,"bear vasquez: oh, my god. oh, my god.","oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",repetition,8,8
6364,اذ اعطيت الجميع علامات الرسوب، بينما اعطيت لنفسي احسن النتائج، بما انّني كنت هناك، تعلمون.,"i gave everybody a row of d's and i gave myself a row of a's, just because i was there, you know, might as well.","and i gave me a lot of myself, i gave me a lot of myself, and i was doing it.",repetition,15,25
198,زميلة دراسة معي بالكلية كتبت لي منذ اسبوعين بما معناه انها ظنت انني صارم قليلاً او حاد .,a college classmate of mine wrote me a couple weeks ago and said she thought i was a little strident.,"i wrote a few weeks ago, and i wrote a little bit of my owner.",repetition,18,20
14,انهم يكذبون، يغشون، وينصرف انتباههم، وينتجون هياكل عرجاء حقاً.,"they lie, they cheat, they get distracted and they produce really lame structures.","they are really, they are really, they are, they are really crazy, they are really crazy, they are really crazy, they are really crazy.",repetition,9,13
3366,واعتقد بانه لو كذب احدهم مرةً ، لا يعني بانه كاذبٌ مدي الحياة.,"i think if somebody tells a lie, they're not just a liar.","and i think someone doesn't mean, if someone does not mean, it's a good life.",adequate,13,12
1400,انت تامل ان لا تحتاج ان تفعل ذلك.,you hope you don't need to do that.,you don't need to do that.,adequate,8,8
4805,ادركت بان هذه كانت لحظة رمزية في حياتي.,i realized that this was a symbolic moment in my life.,i realized that this was a moment in my life.,adequate,8,11
7042,انا لا اعرف اذا كنتم قد سمعتم بهذا من قبل .,i don't know if you've heard of this.,i don't know if you've heard this before.,adequate,11,8
168,"الان , انا افهمه . انا بالفعل افهمه .","now, i understand it. i do understand it.","now, i understand it. i understand it.",repetition,9,8
