experiment_id,name,category,config,status,checkpoint_path,output_path,runtime_seconds,runtime_readable,BLEU,chrF++,COMET,best_val_loss,test_subset,full_test_done,notes,report_status
baseline_dict,Dictionary position baseline,baseline,position-dictionary most-frequent target piece,COMPLETED,,outputs/tables/baseline_results.csv,,,4.7777,25.6503,,,8491,True,Weak lexical lower bound; detokenized sacreBLEU; wins chrF++ not BLEU,NOTES_DRAFTED
base_transformer,Tiny Transformer (greedy) 40ep,main,d128 h4 enc2 dec2 ff512 drop0.1 lr3e-4 ls0.0 wd0.0,COMPLETED,outputs/checkpoints/best_full_model.pt,outputs/tables/full_test_bleu_results.csv,18558,5h 9m 18s,6.2172,24.6435,,4.0166,8491,True,best=latest=epoch40; undertrained; 4006208 params; ~50% outputs repeat; seed 42,NOTES_DRAFTED
full_test_eval,Full-test BLEU + chrF++ (baseline & transformer),evaluation,greedy on 8491 test pairs,COMPLETED,outputs/checkpoints/best_full_model.pt,outputs/tables/full_test_bleu_results.csv,474,7m 54s,6.2172,24.6435,,4.0166,8491,True,transformer 6.22/24.64 vs baseline 4.78/25.65; BLEU stable vs 1000-subset,COMPLETED
E13,Beam search decoding,decoding,best=beam3 lp1.0 (swept beam 1/3/5 x lp 1.0/0.6),COMPLETED,outputs/checkpoints/best_full_model.pt,outputs/tables/e13_beam_search_results.csv,817,13m 37s,7.5338,24.9288,,4.0166,8491,True,beam3 best; full-test 7.53/24.93 vs greedy 6.22/24.64 (+1.32 BLEU no retrain); beam5<beam3,COMPLETED
E1,Dropout 0.3,regularization,dropout=0.3 (40ep from scratch),COMPLETED,outputs/checkpoints/e1/best.pt,outputs/tables/e1_eval_results.csv,,~3.2h,2.6504,18.3066,,4.2927,8491,True,greedy 2.65/18.31 beam3nr3 4.69/21.15; OVER-regularized/underfit; worst trained; does NOT beat E14,COMPLETED
E2,Label smoothing 0.1,regularization,ls=0.1; else same as base (40 epochs from scratch),COMPLETED,outputs/checkpoints/e2_label_smoothing_0p1/best.pt,outputs/tables/e2_eval_results.csv,11540,~3.2h train,6.0798,25.0642,,4.7029,8491,True,greedy 6.08/25.06 beam3 7.37/25.35; repetition 54.1% (up from 49.8%); BLEU down chrF++ up; mixed/negative for repetition goal,COMPLETED
E11,LR warmup schedule,optimization,inv-sqrt warmup ws2000 peak3e-4 (40ep from scratch),COMPLETED,outputs/checkpoints/e11/best.pt,outputs/tables/e11_eval_results.csv,,~3.2h,3.6028,20.2534,,4.2306,8491,True,greedy 3.60/20.25 beam3nr3 5.68/22.84; WORSE than original (LR decayed too low); does NOT beat E14,COMPLETED
E6,Weight tying,architecture,tie tgt embedding<->output projection (40ep),COMPLETED,outputs/checkpoints/e6/best.pt,outputs/tables/e6_eval_results.csv,,~3.1h,7.7168,25.5947,,4.1717,8491,2.98M params (-25%); greedy 5.56/23.63 beam3nr3 7.72/25.59; ~ties BLEU lower chrF; efficiency not quality; below E3,COMPLETED
E3,AdamW wd 1e-4,regularization,AdamW wd1e-4 (bias/LN/emb excluded) 40ep,COMPLETED,outputs/checkpoints/e3/best.pt,outputs/tables/e3_eval_results.csv,,~3.2h,7.9076,26.9301,,4.0062,8491,greedy 5.75/24.58 beam3nr3 7.91/26.93 = NEW BEST; BEATS E14; val 4.006 beats orig 4.017,COMPLETED
E7,Combined best model,best-model,= AdamW wd1e-4 (E3) + nr3 decoding (final tuned in E15 to lp1.2),COMPLETED,outputs/checkpoints/e3/best.pt,outputs/tables/final_ablation_results.csv,,(no new training),8.1231,27.6255,,4.0062,8491,Declared from ablations: only AdamW helped + nr3 decoding; final decoding tuned in E15 (lp1.2); FINAL 8.12/27.63,COMPLETED
E15,Final decoding sweep on E3,decoding,beam/lp/nr sweep on E3 ckpt (no retrain),COMPLETED,outputs/checkpoints/e3/best.pt,outputs/tables/e15_e3_best_full_test.csv,,~30min,8.1231,27.6255,,4.0062,8491,BEST=beam3 lp1.2 nr3; beats prior E3 lp1.0 (7.91/26.93) by +0.22 BLEU/+0.70 chrF++; rep 19.2%; FINAL MODEL,COMPLETED
E12,Data-size ablation,research,5K/10K/25K/50K,NOT_STARTED,,,,,,,,,1000,False,Central data-efficiency figure; document epoch budget,NOT_STARTED
E5,BPE vocab / BPE dropout,research,vocab 4K/8K/12K; subword sampling train-only,NOT_STARTED,,,,,,,,,1000,False,Deterministic tokenization for val/test,NOT_STARTED
P1,LSTM/GRU seq2seq + attention baseline,baseline,small RNN enc-dec w/ attention,NOT_STARTED,,,,,,,,,1000,False,Stronger baseline for paper,NOT_STARTED
E8,Knowledge distillation,research,teacher Helsinki-NLP/opus-mt-ar-en; 5K/10K start,NOT_STARTED,,,,,,,,,1000,False,Teacher-assisted; needs transformers dep,NOT_STARTED
P2,Efficiency analysis,research,params/train-time/inference-time vs quality,NOT_STARTED,,,,,,,,,1000,False,Uses results from other experiments,NOT_STARTED
P3,Arabic-specific error taxonomy,analysis,word-order/clitic/NE/rare/omission/repetition,NOT_STARTED,,,,,,,,,,False,Qualitative; ties to Discussion,NOT_STARTED
E4,R-Drop,optional,rdrop_alpha 0.7,NOT_STARTED,,,,,,,,,1000,False,Doubles forward passes; CPU-expensive,FUTURE_WORK
E9,Curriculum learning,optional,short-to-long then shuffled,NOT_STARTED,,,,,,,,,1000,False,Keep simple version,FUTURE_WORK
E10,Rare-word augmentation,optional,rare-token analysis + oversampling,NOT_STARTED,,,,,,,,,1000,False,Risky; prefer analysis/oversampling,FUTURE_WORK
E14,Decoding repetition-control,decoding,beam + no_repeat_ngram + lp sweep (no retrain),COMPLETED,outputs/checkpoints/best_full_model.pt,outputs/tables/e14_decoding_best_full_test.csv,,~45min,7.7095,26.5320,,4.0166,8491,True,best=beam3 lp1.0 nr3; BEST overall; beats baseline on BLEU+chrF++; repetition 49.8%->15.3% (orig 'checkpoint ensemble' E14 -> future work),COMPLETED
COMET,COMET metric,evaluation,Unbabel COMET on best model,NOT_STARTED,,,,,,,,,1000,False,User-approved; heavy download + slow on CPU,NOT_STARTED
