source_ar,reference_en,original_greedy,e2_greedy,e2_beam,e2_error_category
اذاً، في العادة، يبدا معظم الناس بتوجيه انفسهم لهذه المهمة.,"so, normally, most people begin by orienting themselves to the task.","so most people start to get people, and they start to get to this task.","so, most people start with this task, they're going to happen.","so, most people start with this task.",adequate
ومع كل نموذج، يتلقي الاطفال ردود افعال فورية حول عملهم وما لم يعملوه.,"and with each version, kids get instant feedback about what works and what doesn't work.","and what they did was doing is, and what they didn't work about them.","and yet, they didn't do it. they't work about what they do.","and yet, they didn't have a model of what they're doing, and what they did.",adequate
وما تفعله منافسة المارش مالو هي انها تساعدهم في التعرف علي الافتراضات الخفية.,and what the marshmallow challenge does is it helps them identify the hidden assumptions.,"and what we're interested in the national security, and what we're doing is that they're doing is the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value of the value.",and what we're doing is that it's a social responsibility for us to help them.,and what we've done is that it's a social responsibility to help them.,adequate
وكل شخص في هذه الغرفه عليه ان يدخل داخلها .,and everyone in this room has to get into it.,and all of these are inside of them inside of them inside.,"and all of these people in the box, they're in the box.","and every person in this room, everybody's inside it.",adequate
"لذلك فانا اريد ان ادخل للالة , وان اذهب للمستقبل .","so i want to get in the machine, and i want to go forward.","so i want to go back to the future, and i want to go to go.","so i want to go to go, and go back to the future.","so, i want to go to go back to the future.",adequate
اما ابائي قاربوا الثمانين .,my parents are closing in on 80.,they took two boat two boat two boat.,they've got two-old son.,they're the boat to the boat.,low overlap
قبل عدة سنوات، هنا في تيد، قدّم بيتر سكيلمان منافسة تصميم تسمي منافسة حلوي المارش مالو.,"several years ago here at ted, peter skillman introduced a design challenge called the marshmallow challenge.","the adoption of us have been here, a few years ago, a lot of us have been a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution.","in many years ago, we have been using a design, a solution to design, a solution for a solution for a solution for a solution for a solution for a solution for a solution for a solution.","in a few years ago, i'm here, i've been able to design a few years ago.",repetition
والفكرة غاية في البساطة. فريق مكوّن من اربعة يجب ان يبني اطول هيكل مستقيم من 20 قطعة من الماكرونة، وشريط بطول ياردة واحدة، وحبل بطول ياردة وحلوي المارش مالو.,"and the idea's pretty simple: teams of four have to build the tallest free-standing structure out of 20 sticks of spaghetti, one yard of tape, one yard of string and a marshmallow.","and one of the most famous bricker, one of the most famous bricker, one of the most famous bricker, one of the most famous bricker, the most famous bricker of the most famous bricker.","and one of the most famous examples of the most famous examples of the fbiosis, the most famous attribute force, the fbiosis of the fbiosis, and the most famous attribute force, the fbiosis of the most famous attribute force, the fbiosis of the fbiosis, and the fbiosis of the fbiosis of the fbiosis","one of my team, and i'm going to be able to make a piece of a piece of paper, a piece of paper, a piece of paper, a piece of paper, a piece of paper.",repetition
يجب ان تكون المارش مالو علي القمة.,the marshmallow has to be on top.,the top of the top of the top of the top.,you have to be able to be able to be a lower left.,you have to be able to be able to be able to be able to be the top.,repetition
وقد كان نجاحاً باهراً.,and it was a huge success.,it was a success.,and it was a huge success.,and it was a big success.,adequate
وهذا شئ رائع حقاً.,and it's pretty amazing.,and that's really cool.,and that's really wonderful.,and that's a wonderful thing.,adequate
اذاً فالسؤال الذي ترغب بطرحه هو: كيف؟ لماذا؟ وماذا عنهم؟,so the question you want to ask is: how come? why? what is it about them?,"so what is it that the question is, how do you think about?",so what is it that the question is: why do you get it?,so what's the question is: how do you get it?,adequate
