arabic_bpe,english_bpe
▁اذاً ▁نحن ▁ن بي عها ، ▁ثم ▁شئ ▁غريب ▁كان ▁يحصل ▁مع ▁المكت بات . ▁المكت بة ، ▁في ▁الواقع -- ▁رغ ماً ▁عن ▁اننا ▁بدا ناها ▁ك مج رد ▁ه ف وة ▁-- ▁المكت بة ▁في ▁الواقع ▁ج نت ▁اموال اً .,"▁so ▁we ▁sell ▁' em , ▁and ▁then ▁something ▁weird ▁had ▁been ▁happening ▁with ▁the ▁store s . ▁the ▁store , ▁actually ▁-- ▁even ▁though ▁we ▁started ▁out ▁as ▁just ▁a ▁g ag ▁-- ▁the ▁store ▁actually ▁made ▁money ."
▁لربما ▁كانت ▁المشكلة ▁في ▁الافت راض ▁الاساسي ▁ان ▁كل ▁الا دم غة ▁مصنوعة ▁بنفس ▁الطريقة .,▁maybe ▁the ▁problem ▁was ▁with ▁the ▁basic ▁assumption ▁that ▁all ▁brains ▁are ▁made ▁in ▁the ▁same ▁way .
▁لكن ▁خ من وا ▁ماذا ، ▁لا ▁احد ▁في ▁الواقع ▁يهتم .,"▁but ▁guess ▁what , ▁nobody ▁will ▁really ▁care ."
▁ث يل ما ▁نيك ول س : ▁انا ▁السج ينة ▁رقم ▁ 0 B 2 4 7 2,▁the l ma ▁nich ol s : ▁in m ate ▁number ▁ 0 b 2 4 7 2.
"▁لو ▁رج عتم ▁الي ▁الوراء ▁لب ضع ▁مئات ▁من ▁السنين , ▁كان ▁العالم ▁باكمله ▁مجتمع ▁من غ لق ▁جداً","▁if ▁you ▁go ▁back ▁a ▁few ▁hundred ▁years , ▁all ▁around ▁the ▁world ▁it ▁was ▁a ▁very ▁closed ▁society ."
▁نحن ▁نفعل ▁ذلك ▁في ▁حياتنا ▁الشخصية ▁.,▁we ▁do ▁that ▁in ▁our ▁personal ▁lives .
▁لذا ▁طلب ▁مني ▁العمل ▁في ▁قضي ته ▁لاني ▁عال ِ م ▁نفسي,▁so ▁i ▁was ▁asked ▁to ▁work ▁on ▁tit us ' ▁case ▁because ▁i ' m ▁a ▁psychological ▁scientist .
▁وك الب شر ، ▁تعاني ▁الفئران ▁مع ▁تقدم ها ▁بالع مر ▁من ▁مشاكل ▁الذاكرة .,"▁as ▁mice ▁get ▁older , ▁like ▁us ▁humans , ▁they ▁have ▁memory ▁problems ."
▁دان ▁هول ز مان ▁: ▁الامر ▁ليس ▁بهذه ▁الصعوبة ▁.. ▁الا ▁اننا ▁لا ▁نحب ▁التد رب ▁كثيرا,"▁dh : ▁it ' s ▁not ▁that ▁difficult , ▁we ▁just ▁don ' t ▁like ▁to ▁practice ▁that ▁much ."
▁كما ▁تعلمون ، ▁انا ▁رجل ▁ابيض ▁من ▁الطبقة ▁المتوسطة . ▁ليس ▁لدي ▁اي ▁مشكلة,"▁you ▁know , ▁i ' m ▁a ▁middle ▁class ▁white ▁man . ▁i ▁have ▁no ▁race , ▁no ▁class , ▁no ▁gender ."
