reference_en,original_greedy,e14_beam3 lp1.0 nr3
we're working with local communities.,we're working with local local local local local local local local local local local local local local local local local local local local local local local local local local.,we're working with local communities.
i'm not sure where we go.,i'm not sure where we go to where we go to where we go.,i'm not sure where we go.
ml: it's much better than that.,ca: it's much better than that's much better than that.,ca: it's much better than that.
i don't know what i'm supposed to do.,i don't know what i don't know what i'm doing.,i don't know what i'm not supposed to do.
but now you don't have to worry about it.,but you have to have to have to do that.,but you don't have to worry about it.
i want to show you something here for the first time.,i want to show you something that i want to show you something.,i want to show you something that's the first time.
"you move around, you have fun.",you're going to go back.,it's a long time.
all right.,"well, that's what i.",okay.
ml: absolutely.,ca: let me tell me.,ca: wow.
"yet i am afraid of privilege, of ease, of entitlement.",i'm a bit of the staircase that i'm in the wake up.,i'm in the late '80s.
