source_ar,reference_en,hypothesis_en,error_category
قبل عدة سنوات، هنا في تيد، قدّم بيتر سكيلمان منافسة تصميم تسمي منافسة حلوي المارش مالو.,"several years ago here at ted, peter skillman introduced a design challenge called the marshmallow challenge.","in many years ago, i'm going to design a design, and i've been involved in the work called the design of the design.",adequate
يجب ان تكون المارش مالو علي القمة.,the marshmallow has to be on top.,you have to be familiar with the top.,adequate
تبدو مالوفاً؟ اليس كذلك.,sound familiar? right.,isn't it?,low overlap
لذا فالمصممون يعرفون هذا النوع من التعاون كعملية تكرار جوهرية.,designers recognize this type of collaboration as the essence of the iterative process.,so they know this kind of like a kind of model that.,low overlap
المهندسون والمعماريون، بحمد الله.,"architects and engineers, thankfully.","and they're the engineers, the engineers and the engineers.",over-generation
شيئ مخيف جداً .,very scary.,it's a very hard thing.,over-generation
والفكرة غاية في البساطة. فريق مكوّن من اربعة يجب ان يبني اطول هيكل مستقيم من 20 قطعة من الماكرونة، وشريط بطول ياردة واحدة، وحبل بطول ياردة وحلوي المارش مالو.,"and the idea's pretty simple: teams of four have to build the tallest free-standing structure out of 20 sticks of spaghetti, one yard of tape, one yard of string and a marshmallow.","and the team has to make a very simple idea of a single game, and the faint and the idea of the team, and it's got to builds a lot of a very hard to build a piece of a little bit more like a piece.",repetition
ومنذ ذلك الحين، قمت بعقد حوالي 70 ورشة عمل للتصميم عبر العالم مع الطلاب والمصممين والمهندسين المعماريين، وحتي مع مدراء التقنية لاكبر خمسين شركة، وهي شئ متعلق بهذا التمرين الذي يكشف عن درس بالغ العمق حول طبيعة التعاون، وارغب في تقاسم بعض منها معكم.,"and since then, i've conducted about 70 design workshops across the world with students and designers and architects, even the ctos of the fortune 50, and there's something about this exercise that reveals very deep lessons about the nature of collaboration, and i'd like to share some of them with you.","since then, i've been working with this technology, and i'm going to share some of the design, and the design of the technology that i's where i'd been working together with a company, and even done with the world, and so i have been working on the design and the way to share with the way of the way.",repetition
هناك ايضاً رقم قياسي عالمياً .,there's world records that are on this as well.,there's also a world.,severe omission
ما نوع هذا الشيئ الذي حدث الذي جعلنا نفعل ذلك .,what kind of a thing happened that we could do that?,that's what happened to do.,severe omission
